Generating SQLite file /content/marlin_ab/nsys_atomic.1.sqlite from /content/marlin_ab/nsys_atomic.1.nsys-rep
Processing [/content/marlin_ab/nsys_atomic.1.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.5.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     30.9      372,666,021        256  1,455,726.6  1,382,014.0  1,378,398  2,276,616    245,179.1  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bo…
     23.0      277,657,123     14,280     19,443.8     19,744.0     14,272     40,575      5,598.9  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
     18.2      219,809,713     14,280     15,392.8     14,687.0     11,679     32,415      4,335.2  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
     15.4      185,868,299      7,168     25,930.3     24,736.0     15,200     44,255      5,916.2  kernel_unified_attention                                                                            
      2.2       25,977,410      6,912      3,758.3      3,616.0      2,976      7,392        963.9  triton_per_fused_fused_add_rms_norm_marlin_gemm_2                                                   
      2.0       23,913,513      7,140      3,349.2      3,103.0      2,752      6,495        836.6  reduce_segments                                                                                     
      2.0       23,656,693      7,168      3,300.3      3,200.0      2,527      6,432        798.0  triton_per_fused_fused_add_rms_norm_marlin_gemm_0                                                   
      1.7       20,723,784      6,912      2,998.2      2,848.0      2,272      6,496        698.3  triton_red_fused_3                                                                                  
      1.5       18,087,235      7,168      2,523.3      2,400.0      1,952      4,704        578.1  reshape_and_cache_kernel_flash                                                                      
      1.3       15,993,133      7,168      2,231.2      2,016.0      1,887      4,832        559.3  triton_poi_fused_marlin_gemm_mul_silu_slice_1                                                       
      0.2        2,490,691         56     44,476.6     44,222.5     38,431     50,271      5,149.0  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
      0.2        1,874,964         56     33,481.5     33,567.5     28,767     38,751      3,991.2  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
      0.2        1,830,667        256      7,151.0      6,543.5      5,600     13,280      1,749.4  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1        1,727,128        256      6,746.6      6,368.0      5,600     11,296      1,156.6  _gumbel_sample_kernel                                                                               
      0.1        1,670,924        256      6,527.0      5,919.5      5,535     12,383      1,767.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1        1,205,154        256      4,707.6      4,352.0      3,488      8,448      1,083.1  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1        1,203,069        256      4,699.5      4,384.0      4,160      7,647        799.6  _gather_block_tables_kernel                                                                         
      0.1        1,137,130        256      4,441.9      4,079.5      3,360      7,648        934.3  _post_update_kernel                                                                                 
      0.1        1,067,502        256      4,169.9      3,968.0      3,552      6,400        611.0  _get_num_sampled_and_rejected_kernel                                                                
      0.1        1,041,833        256      4,069.7      3,840.0      3,455      6,208        627.1  _combine_sampled_and_draft_tokens_kernel                                                            
      0.1          999,914        256      3,905.9      3,552.0      3,423      7,040        915.2  triton_per_fused__to_copy_embedding_marlin_gemm_rms_norm_0                                          
      0.1          973,293        256      3,801.9      3,488.0      3,360      6,624        844.3  triton_per_fused_fused_add_rms_norm_2                                                               
      0.1          917,009        256      3,582.1      3,168.0      3,008      7,200      1,102.0  _compute_slot_mappings_kernel       
