Generating SQLite file /content/marlin_ab/nsys_baseline.2.sqlite from /content/marlin_ab/nsys_baseline.2.nsys-rep
Processing [/content/marlin_ab/nsys_baseline.2.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.5.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     29.8      379,070,378        256  1,480,743.7  1,384,766.0  1,377,982  2,275,783    250,598.4  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bo…
     23.2      294,571,648     14,280     20,628.3     20,607.0     14,431     40,543      5,816.7  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
     18.6      236,241,110     14,280     16,543.5     15,680.0     11,808     32,159      4,541.4  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
     15.8      200,515,861      7,168     27,973.8     27,295.0     16,960     44,511      5,825.6  kernel_unified_attention                                                                            
      2.2       27,764,585      6,912      4,016.9      3,840.0      3,008      7,360      1,024.1  triton_per_fused_fused_add_rms_norm_marlin_gemm_2                                                   
      2.0       25,783,334      7,140      3,611.1      3,264.0      2,784      6,400        885.1  reduce_segments                                                                                     
      2.0       25,195,486      7,168      3,515.0      3,391.0      2,688      6,304        843.6  triton_per_fused_fused_add_rms_norm_marlin_gemm_0                                                   
      1.7       22,135,422      6,912      3,202.5      2,976.0      2,272      6,336        742.8  triton_red_fused_3                                                                                  
      1.5       19,301,150      7,168      2,692.7      2,559.0      1,952      4,831        621.8  reshape_and_cache_kernel_flash                                                                      
      1.4       17,200,684      7,168      2,399.6      2,144.0      1,919      6,912        595.0  triton_poi_fused_marlin_gemm_mul_silu_slice_1                                                       
      0.2        2,489,092         56     44,448.1     44,430.5     38,655     50,335      5,223.1  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
      0.2        1,963,380        256      7,669.5      7,136.0      6,176     11,679      1,268.7  _gumbel_sample_kernel                                                                               
      0.2        1,959,700        256      7,655.1      6,944.0      5,792     13,184      1,857.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1        1,884,595         56     33,653.5     33,695.0     28,831     38,111      3,875.3  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
      0.1        1,815,534        256      7,091.9      6,336.0      5,600     12,480      1,878.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1        1,297,984        256      5,070.3      4,640.0      4,320      8,160        914.6  _gather_block_tables_kernel                                                                         
      0.1        1,288,410        256      5,032.9      4,576.0      3,456      8,416      1,150.4  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1        1,207,933        256      4,718.5      4,288.0      3,552      8,607        989.0  _post_update_kernel                                                                                 
      0.1        1,102,501        256      4,306.6      3,904.0      3,487      7,136        953.0  triton_per_fused__to_copy_embedding_marlin_gemm_rms_norm_0                                          
      0.1        1,079,437        256      4,216.6      3,840.0      3,584      6,784        763.8  _get_num_sampled_and_rejected_kernel                                                                
      0.1        1,049,446        256      4,099.4      3,744.0      3,488      6,656        769.2  _combine_sampled_and_draft_tokens_kernel                                                            
      0.1        1,034,182        256      4,039.8      3,648.0      3,392      6,624        907.8  triton_per_fused_fused_add_rms_norm_2                                                               
      0.1          992,139        256      3,875.5      3,392.0      3,072      7,200      1,155.2  _compute_slot_mappings_kernel  
