Generating SQLite file /content/steady_decode.1.sqlite from /content/steady_decode.1.nsys-rep
Processing [/content/steady_decode.1.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.5.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     28.3      369,308,470        256  1,442,611.2  1,383,709.0  1,378,109  2,276,134    215,245.5  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bo…
     21.9      285,898,632     14,280     20,020.9     20,319.0     14,432     42,495      5,123.5  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
     17.4      227,262,720     14,280     15,914.8     15,295.0     11,840     32,511      3,943.2  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
     14.8      193,124,012      7,168     26,942.5     25,983.0     18,079     44,543      6,129.1  kernel_unified_attention                                                                            
      2.1       27,578,886        256    107,730.0     95,630.0     86,686    232,090     34,330.4  void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
      2.0       26,756,764      6,912      3,871.1      3,712.0      3,007      7,456        889.1  triton_per_fused_fused_add_rms_norm_marlin_gemm_2                                                   
      1.9       24,738,840      7,140      3,464.8      3,200.0      2,784     10,144        754.9  reduce_segments                                                                                     
      1.9       24,486,412      1,024     23,912.5     21,279.0     18,496     52,511      7,417.9  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::de…
      1.8       24,100,120      7,168      3,362.2      3,264.0      2,528      6,271        739.8  triton_per_fused_fused_add_rms_norm_marlin_gemm_0                                                   
      1.6       20,958,780      6,912      3,032.2      2,816.0      2,239     12,576        673.9  triton_red_fused_3                                                                                  
      1.4       18,830,249      7,168      2,627.0      2,464.0      1,920      5,247        561.8  reshape_and_cache_kernel_flash                                                                      
      1.3       16,739,169      7,168      2,335.3      2,112.0      1,888      4,959        523.5  triton_poi_fused_marlin_gemm_mul_silu_slice_1                                                       
      0.4        4,984,443        256     19,470.5     17,856.0     15,999     36,895      4,556.0  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.3        3,399,586        768      4,426.5      4,288.0      3,072      8,448      1,039.2  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.2        3,072,149        256     12,000.6     11,151.5      9,888     21,600      2,451.4  _gumbel_sample_kernel                                                                               
      0.2        2,491,389         56     44,489.1     44,478.5     38,719     50,207      5,162.8  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
      0.2        2,138,868        256      8,355.0      7,424.0      6,752     17,824      2,597.3  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::d…
      0.1        1,893,361         56     33,810.0     34,079.5     29,440     38,303      3,725.8  void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1…
      0.1        1,889,547        256      7,381.0      6,815.5      6,176     13,280      1,578.6  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1        1,831,062        512      3,576.3      3,264.0      2,688      7,872      1,071.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1        1,726,160        256      6,742.8      6,272.0      5,791     12,383      1,331.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1        1,653,501        256      6,459.0      6,016.0      5,440     10,559      1,115.5  _temperature_kernel                                                                                 
